FID,INSTNAME,CITY,STATE,ZIP
232,Brownson Technical School,Anaheim,CA,92805
233,Bryan University,Los Angeles,CA,90010
234,Butte College,Oroville,CA,95965
235,Phillips Graduate Institute,Chatsworth,CA,91311
236,California Institute of Integral Studies,San Francisco,CA,94103
237,Cabrillo College,Aptos,CA,95003
238,California Baptist University,Riverside,CA,92504
239,California College of the Arts,San Francisco,CA,94107
240,University of California-Hastings College of Law,San Francisco,CA,94102
241,California Institute of Technology,Pasadena,CA,91125
242,California Lutheran University,Thousand Oaks,CA,91360
243,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,93407
244,Alliant International University,San Diego,CA,92131
245,California State University-Bakersfield,Bakersfield,CA,93311
246,California State University-Stanislaus,Turlock,CA,95382
247,California State University-Chancellors Office,Long Beach,CA,90802
248,California State University-San Bernardino,San Bernardino,CA,92407
249,California State Polytechnic University-Pomona,Pomona,CA,91768
250,California State University-Chico,Chico,CA,95929
251,California State University-Dominguez Hills,Carson,CA,90747
252,California State University-Fresno,Fresno,CA,93740
253,California State University-Fullerton,Fullerton,CA,92831
254,California State University-East Bay,Hayward,CA,94542
255,California State University-Long Beach,Long Beach,CA,90840
256,California State University-Los Angeles,Los Angeles,CA,90032
257,California State University-Northridge,Northridge,CA,91330
258,California State University-Sacramento,Sacramento,CA,95819
259,University of California-Berkeley,Berkeley,CA,94720
260,University of California-Davis,Davis,CA,95616
261,University of California-Irvine,Irvine,CA,92697
262,University of California-Los Angeles,Los Angeles,CA,90095
263,University of California-Riverside,Riverside,CA,92521
264,University of California-San Diego,La Jolla,CA,92093
265,University of California-San Francisco,San Francisco,CA,94143
266,University of California-Santa Barbara,Santa Barbara,CA,93106
267,University of California-Santa Cruz,Santa Cruz,CA,95064
268,Sofia University,Palo Alto,CA,94303
269,California Beauty School,Modesto,CA,95354
270,California Christian College,Fresno,CA,93703
271,California College San Diego,San Diego,CA,92111
272,Le Cordon Bleu College of Culinary Arts-San Francisco,San Francisco,CA,94103
273,California Hair Design Academy,La Mesa,CA,91941
274,California Institute of the Arts,Valencia,CA,91355
275,California Maritime Academy,Vallejo,CA,94590
276,California Western School of Law,San Diego,CA,92101
277,Canada College,Redwood City,CA,94061
278,College of the Canyons,Santa Clarita,CA,91355
279,Career Academy of Beauty,Garden Grove,CA,92845
280,Casa Loma College-Van Nuys,Van Nuys,CA,91405
281,CET-San Diego,San Diego,CA,92102
282,CET-Sobrato,San Jose,CA,95110
283,CET-El Centro,El Centro,CA,92243
284,CET-San Bernardino,San Bernardino,CA,92408
285,CET-Watsonville,Watsonville,CA,95076
286,CET-Gilroy,Gilroy,CA,95020
287,CET-Salinas,Salinas,CA,93901
288,Cerritos College,Norwalk,CA,90650
289,Cerro Coso Community College,Ridgecrest,CA,93555
290,Chabot College,Hayward,CA,94545
291,Chaffey College,Rancho Cucamonga,CA,91737
292,Chapman University,Orange,CA,92866
293,Charles R Drew University of Medicine and Science,Los Angeles,CA,90059
294,Concordia University-Irvine,Irvine,CA,92612
295,San Diego Christian College,El Cajon,CA,92019
296,Church Divinity School of the Pacific,Berkeley,CA,94709
297,Citrus College,Glendora,CA,91741
298,Citrus Heights Beauty College,Citris Heights,CA,95610
299,City College of San Francisco,San Francisco,CA,94112
300,Claremont Graduate University,Claremont,CA,91711
301,Claremont McKenna College,Claremont,CA,91711
302,Milan Institute-Visalia,Visalia,CA,93277
303,Clovis Adult Education,Clovis,CA,93611
304,Coast Community College District Office,Costa Mesa,CA,92626
305,Coastline Community College,Fountain Valley,CA,92708
306,Cogswell College,Sunnyvale,CA,94089
307,Coleman University,San Diego,CA,92123
308,COBA Academy,Orange,CA,92866
309,Western University of Health Sciences,Pomona,CA,91766
310,Columbia College,Sonora,CA,95370
311,Columbia College-Hollywood,Tarzana,CA,91356
312,El Camino College-Compton Center,Compton,CA,90221
313,Western Beauty Institute,Panorama City,CA,91402
314,Contra Costa Community College District Office,Martinez,CA,94553
315,Contra Costa College,San Pablo,CA,94806
316,Cosumnes River College,Sacramento,CA,95823
317,Crafton Hills College,Yucaipa,CA,92339
318,Cuesta College,San Luis Obispo,CA,93403
319,Cuyamaca College,El Cajon,CA,92019
320,Cypress College,Cypress,CA,90630
321,De Anza College,Cupertino,CA,95014
322,Marinello Schools of Beauty-Hemet,Hemet,CA,92545
323,International School of Beauty Inc,Palm Desert,CA,92260
324,Dell'Arte International School of Physical Theatre,Blue Lake,CA,95525
325,College of the Desert,Palm Desert,CA,92260
326,Design Institute of San Diego,San Diego,CA,92121
327,DeVry University-California,Pomona,CA,91768
328,Diablo Valley College,Pleasant Hill,CA,94523
329,Dominican University of California,San Rafael,CA,94901
330,Dominican School of Philosophy & Theology,Berkeley,CA,94708
331,East Los Angeles College,Monterey Park,CA,91754
332,Marinello Schools of Beauty-Santa Clara,Santa Clara,CA,95050
333,San Diego Continuing Education,San Diego,CA,92113
334,El Camino Community College District,Torrance,CA,90506
335,Elegance International,Hollywood,CA,90028
336,Marinello Schools of Beauty-Burbank,Burbank,CA,91502
337,Marinello Schools of Beauty-Moreno Valley,Moreno Valley,CA,92553
338,Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,90403
339,Empire College School of Business,Santa Rosa,CA,95403
340,Evergreen Valley College,San Jose,CA,95135
341,Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,90015
342,Fashion Careers College,San Diego,CA,92110
343,Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,94108
344,Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,92614
345,Feather River Community College District,Quincy,CA,95971
346,Federico Beauty Institute,Sacramento,CA,95834
347,Fielding Graduate University,Santa Barbara,CA,93105
348,Five Branches University,Santa Cruz,CA,95062
349,Hair California Beauty Academy,Orange,CA,92867
350,Foothill College,Los Altos Hills,CA,94022
351,Franciscan School of Theology,Berkeley,CA,94709
352,Fredrick and Charles Beauty College,Eureka,CA,95501
353,Fresno City College,Fresno,CA,93741
354,Fresno Pacific University,Fresno,CA,93702
355,Foothill-De Anza Community College District,Los Altos Hills,CA,94022
356,Fuller Theological Seminary in California,Pasadena,CA,91182
357,Fullerton College,Fullerton,CA,92832
358,Galen College of Medical and Dental Assistants,Clovis,CA,93611
359,Gavilan College,Gilroy,CA,95020
360,Gemological Institute of America-Carlsbad,Carlsbad,CA,92008
361,Glendale Community College,Glendale,CA,91208
362,Glendale Career College,Glendale,CA,91203
363,Golden Gate University-San Francisco,San Francisco,CA,94105
364,Golden West College,Huntington Beach,CA,92647
365,Graduate Theological Union,Berkeley,CA,94709
366,Grossmont-Cuyamaca Community College District,El Cajon,CA,92020
367,Grossmont College,El Cajon,CA,92020
368,Salon Success Academy-San Bernardino,San Bernardino,CA,92405
369,Hartnell College,Salinas,CA,93901
370,Harvey Mudd College,Claremont,CA,91711
371,Heald College-Rancho Cordova,Rancho Cordova,CA,95670
372,Heald College-Fresno,Fresno,CA,93704
373,Heald College-San Jose,Milpitas,CA,95035
374,Heald College-San Francisco,San Francisco,CA,94103
375,Heald College-Concord,Concord,CA,94520
376,Hilltop Beauty School,Daly City,CA,94014
377,Holy Names University,Oakland,CA,94619
378,Pacifica Graduate Institute,Carpinteria,CA,93013
379,Humboldt State University,Arcata,CA,95521
380,Humphreys College-Stockton and Modesto Campuses,Stockton,CA,95207
381,Imperial Valley College,Imperial,CA,92251
382,Institute for Business and Technology,Santa Clara,CA,95051
383,LA College International,Los Angeles,CA,90010
384,Interior Designers Institute,Newport Beach,CA,92660
385,Toni & Guy Hairdressing Academy-Santa Monica,Santa Monica,CA,90401
386,Irvine Valley College,Irvine,CA,92618
387,ITT Technical Institute-National City,National City,CA,91950
388,ITT Technical Institute-San Dimas,San Dimas,CA,91773
389,ITT Technical Institute-Orange,Orange,CA,92868
390,Bellus Academy-El Cajon,El Cajon,CA,92021
391,Joe Blasco Makeup Artist Training Center,Los Angeles,CA,90027
392,John F Kennedy University,Pleasant Hill,CA,94523
393,American Jewish University,Los Angeles,CA,90077
394,Reedley College,Reedley,CA,93654
395,Life Pacific College,San Dimas,CA,91773
396,The Art Institute of California-Argosy University San Diego,San Diego,CA,92108
397,University of La Verne,La Verne,CA,91750
398,Laguna College of Art and Design,Laguna Beach,CA,92651
399,Lake Tahoe Community College,South Lake Tahoe,CA,96150
400,Lancaster Beauty School,Lancaster,CA,93534
401,Laney College,Oakland,CA,94607
402,Lassen Community College,Susanville,CA,96130
403,Life Chiropractic College West,Hayward,CA,94545
404,Lincoln University,Oakland,CA,94612
405,Southern California Seminary,El Cajon,CA,92019
406,La Sierra University,Riverside,CA,92515
407,Loma Linda University,Loma Linda,CA,92350
408,Long Beach City College,Long Beach,CA,90808
409,Southern California University of Health Sciences,Whittier,CA,90604
410,Los Angeles Community College District Office,Los Angeles,CA,90017
411,Los Angeles Harbor College,Wilmington,CA,90744
412,Los Angeles Pierce College,Woodland Hills,CA,91371
413,Los Angeles Southwest College,Los Angeles,CA,90047
414,Los Angeles Trade Technical College,Los Angeles,CA,90015
415,Los Angeles Valley College,Valley Glen,CA,91401
416,The Master's College and Seminary,Santa Clarita,CA,91321
417,Los Angeles City College,Los Angeles,CA,90029
418,Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,90033
419,Los Angeles Mission College,Sylmar,CA,91342
420,Los Medanos College,Pittsburg,CA,94565
421,Los Rios Community College District Office,Sacramento,CA,95825
422,The Art Institute of California-Argosy University San Francisco,San Francisco,CA,94102
423,Loyola Marymount University,Los Angeles,CA,90045
424,Lu Ross Academy,Ventura,CA,93001
425,Manchester Beauty College,Fresno,CA,93726
426,Tulare Beauty College,Tulare,CA,93274
427,Lyles Bakersfield College of Beauty,Bakersfield,CA,93301
428,Lyles Fresno College of Beauty,Fresno,CA,93710
429,Lytles Redwood Empire Beauty College Inc,Santa Rosa,CA,95403
430,MTI Business College Inc,Stockton,CA,95207
431,MTI College,Sacramento,CA,95841
432,Kaplan College-Sacramento,Sacramento,CA,95821
433,Kaplan College-San Diego,San Diego,CA,92123
434,Kaplan College-Vista,Vista,CA,92083
435,College of Marin,Kentfield,CA,94904
436,Marinello Schools of Beauty-Los Angeles,Los Angeles,CA,90023
437,Marymount California University,Rancho Palos Verdes,CA,90275
438,Mendocino College,Ukiah,CA,95482
439,Menlo College,Atherton,CA,94027
440,Merced College,Merced,CA,95348
441,Merritt College,Oakland,CA,94619
442,Mills College,Oakland,CA,94613
443,MiraCosta College,Oceanside,CA,92056
444,Marinello Schools of Beauty-San Francisco,San Francisco,CA,94103
445,Mission College,Santa Clara,CA,95054
446,Modern Beauty Academy,Oxnard,CA,93030
447,Kaplan College-North Hollywood,North Hollywood,CA,91606
448,Modesto Junior College,Modesto,CA,95350
449,Moler Barber College,Oakland,CA,94609
450,Monterey Institute of International Studies,Monterey,CA,93940
451,Monterey Peninsula College,Monterey,CA,93940
452,Moorpark College,Moorpark,CA,93021
453,Mt San Antonio College,Walnut,CA,91789
454,Mount St Mary's College,Los Angeles,CA,90049
455,Mt San Jacinto Community College District,San Jacinto,CA,92583
456,Mueller College,San Diego,CA,92108
457,Musicians Institute,Hollywood,CA,90028
458,Napa Valley College,Napa,CA,94558
459,Everest College-San Francisco,San Francisco,CA,94103
460,Everest College-Reseda,Reseda,CA,91335
461,Everest College-LA Wilshire,Los Angeles,CA,90010
462,Everest College-San Jose,San Jose,CA,95128
463,Everest College-Gardena,Gardena,CA,90247
464,Everest College-Alhambra,Alhambra,CA,91803
465,Everest College-San Bernardino,San Bernardino,CA,92408
466,The National Hispanic University,San Jose,CA,95127
467,National Holistic Institute,Emeryville,CA,94608
468,National University,La Jolla,CA,92037
469,Naval Postgraduate School,Monterey,CA,93943
470,Newschool of Architecture and Design,San Diego,CA,92101
471,Newberry School of Beauty,Granada Hills,CA,91344
472,Adrian's College of Beauty Modesto,Modesto,CA,95350
473,North Orange County Community College District,Anaheim,CA,92801
474,North-West College-Pomona,Pomona,CA,91768
475,North-West College-West Covina,West Covina,CA,91790
476,North-West College-Pasadena,Pasadena,CA,91101
477,Northwestern Polytechnic University,Fremont,CA,94539
478,Notre Dame de Namur University,Belmont,CA,94002
479,Occidental College,Los Angeles,CA,90041
480,Oceanside College of Beauty,Oceanside,CA,92054
481,Ohlone College,Fremont,CA,94539
482,Orange Coast College,Costa Mesa,CA,92626
483,Otis College of Art and Design,Los Angeles,CA,90045
484,Oxnard College,Oxnard,CA,93033
485,Hope International University,Fullerton,CA,92831
486,Concorde Career College-San Diego,San Diego,CA,92113
487,Palo Alto University,Palo Alto,CA,94304
488,Pacific Lutheran Theological Seminary,Berkeley,CA,94708
489,Pacific Oaks College,Pasadena,CA,91103
490,Pacific School of Religion,Berkeley,CA,94709
491,Pacific States University,Los Angeles,CA,90010
492,Pacific Union College,Angwin,CA,94508
493,University of the Pacific,Stockton,CA,95211
494,Palo Verde College,Blythe,CA,92225
495,Palomar College,San Marcos,CA,92069
496,Paris Beauty College,Concord,CA,94520
497,Pasadena City College,Pasadena,CA,91106
498,Pepperdine University,Malibu,CA,90263
