FID,NAME,ADDRESS,CITY,STATE,ZIP
675,FIU ARENA,11200 SW 8TH STREET,MIAMI,FL,33174
676,BOBBY BOWDEN FIELD AT DOAK CAMPBELL STADIUM,CHAMPIONS WAY,TALLAHASSEE,FL,32304
677,KOESSLER ATHLETIC CENTER,MAIN STREET (NY-5),BUFFALO,NY,14208
678,CAJUNDOME,CAJUNDOME BOULEVARD AND WEST CONGRESS STREET,LAFAYETTE,LA,70506
679,BEN HILL GRIFFIN STADIUM,157 GALE LEMERAND DRIVE,GAINESVILLE,FL,32611
680,CONVOCATION CENTER (MICHIGAN),799 NORTH HEWITT ROAD,YPSILANTI,MI,48197
681,UNT COLISEUM,600 AVENUE D,DENTON,TX,76201
682,OCEAN BANK FIELD AT FIU STADIUM,SW 17TH STREET AND SW 112TH AVENUE,MIAMI,FL,33165
683,CONVOCATION CENTER (OHIO),95 RICHLAND AVENUE,ATHENS,OH,45701
684,TROJAN ARENA,5000 VETERANS STADIUM DRIVE,TROY,AL,36082
685,BOBBY DODD STADIUM,155 NORTH AVENUE NW,ATLANTA,GA,30332
686,MEMORIAL GYMNASIUM (LOUISIANA),REED STREET AND SANDLE STREET,GRAMBLING,LA,71245
687,SANFORD STADIUM,SANFORD DRIVE AND FIELD STREET,ATHENS,GA,30605
688,SAVAGE  ARENA,2801 W BANCROFT ST,TOLEDO,OH,43606
689,ALOHA STADIUM,99-500 SALT LAKE BOULEVARD,HONOLULU,HI,96818
690,BURR GYMNASIUM,2400 6TH ST NW,WASHINGTON,DC,20001
691,HARRISON HPER COMPLEX,SUNFLOWER LANE AND LEFLORE AVENUE,ITTA BENA,MS,38941
692,KINNICK STADIUM,STADIUM DRIVE AND HAWKINS DRIVE,IOWA CITY,IA,52242
693,HAMPTON CONVOCATION CENTER,100 E QUEEN ST,HAMPTON,VA,23668
694,WILLIIAM NICKS BUILDING,L. W. MINOR STREET,PRAIRIE VIEW,TX,77445
695,CORBETT SPORTS CENTER,1601 EAST MARKET STREET,GREENSBORO,NC,27401
696,JACK TRICE STADIUM,1798 SOUTH FOURTH STREET,AMES,IA,50010
697,PAN AMERICAN CENTER,INTERNATIONAL MALL AND PAYNE STREET,LAS CRUCES,NM,88003
698,ALFRED LAWSON CENTER,1800 WAHNISH WAY,TALLAHASSEE,FL,32301
699,ALBERTSONS STADIUM,WEST BRONCO CIRCLE,BOISE,ID,83725
700,THOMAS ASSEMBLY CENTER,WEST ALABAMA AVENUE AND PENNY LANE,RUSTON,LA,71270
701,TALMADGE L. HILL FIELD HOUSE,ARGONNE DRIVE AND HILLEN ROAD,BALTIMORE,MD,21239
702,KIBBIE-ASUI ACTIVITY CENTER,1000 STADIUM DRIVE,MOSCOW,ID,83844
703,SAVE MART CENTER,EAST SHAW AVENUE AND NORTH CHESTNUT AVENUE,FRESNO,CA,93710
704,JOSEPH ECHOLS MEMORIAL HALL,700 PARK AVE,NORFOLK,VA,23504
705,MEMORIAL STADIUM (ILLINOIS),SOUTH 1ST STREET AND WEST KIRBY AVENUE,CHAMPAIGN,IL,61820
