FID,INSTNAME,CITY,STATE,ZIP
7410,Paul Mitchell the School-Arlington,Arlington,TX,76018
7411,Rocky Mountain University of Health Professions,Provo,UT,84606
7412,MediaTech Institute-Oceanside,Oceanside,CA,92054
7413,Christie's Education,New York,NY,10036
7414,Prince Institute-Great Lakes,Schaumburg,IL,60173
7415,Palmetto Beauty School,Spartanburg,SC,29307
7416,Paul Mitchell the School-Fort Myers,Fort Myers,FL,33913
7417,Paul Mitchell The School-Raleigh,Raleigh,NC,27612
7418,Stella and Charles Guttman Community College,New York,NY,10018
7419,Lil Lou's Barber College,Gary,IN,46409
7420,Bryan University,Columbia,MO,65201
7421,Virginia College-Tulsa,Tulsa,OK,74105
7422,Criswell College,Dallas,TX,75246
7423,Virginia College-Knoxville,Knoxville,TN,37918
7424,Columbia Academy of Cosmetology,West Columbia,SC,29169
7425,Academy of Couture Art,Beverly Hills,CA,90211
7426,Global Institute,Caguas,PR,725
7427,Shear Learning Academy of Cosmetology,Decatur,IL,62523
7428,University of Cosmetology Arts & Sciences-La Joya,La Joya,TX,78560
7429,Preferred College of Nursing-Van Nuys,Van Nuys,CA,91401
7430,Bryant & Stratton College-Akron,Copley,OH,44321
7431,Annenberg School of Nursing,Reseda,CA,91335
7432,American Medical Academy,Miami,FL,33186
7433,Tooele Applied Technology College,Tooele,UT,84074
7434,Chamberlain College of Nursing-Georgia,Atlanta,GA,30342
7435,Chamberlain College of Nursing-Indiana,Indianapolis,IN,46240
7436,Carrington College-Mesquite,Mesquite,TX,75150
7437,Universidad Internacional Iberoamericana,Arecibo,PR,613
7438,Sessions College for Professional Design,Tempe,AZ,85281
7439,Southeastern Technical Careers Institute Inc,West Palm Beach,FL,33405
7440,Virginia College-Shreveport Bossier City,Bossier City,LA,71111
7441,Strayer University-Wisconsin,Milwaukee,WI,53214
7442,Strayer University-Indiana,Indianapolis,IN,46240
7443,Tulsa Welding School-Jacksonville,Jacksonville,FL,32216
7444,Herzing University,Madison,WI,53719
7445,Regency Beauty Institute-Hoover,Hoover,AL,35244
7446,Regency Beauty Institute-San Antonio,San Antonio,TX,78216
7447,Regency Beauty Institute-Carrollwood,Tampa,FL,33609
7448,Regency Beauty Institute-Clearwater,Clearwater,FL,33763
7449,Regency Beauty Institute-Newport News,Newport News,VA,23609
7450,Regency Beauty Institute-Lewisville,Lewisville,TX,75067
7451,Regency Beauty Institute-Dallas,Dallas,TX,75244
7452,Regency Beauty Institute-Plano,Plano,TX,75075
7453,Empire Beauty School-Virginia Beach,Virginia Beach,VA,23462
7454,Sanford-Brown College-Columbus,Columbus,OH,43231
7455,Ross Medical Education Center-Morgantown,Morgantown,WV,26505
7456,Paul Mitchell the School-Ogden,Ogden,UT,84401
7457,CollegeAmerica-Colorado Springs South,Colorado Springs,CO,80906
7458,Everest Institute-Bensalem,Bensalem,PA,19020
7459,Golf Academy of America-Farmers Branch,Farmers Branch,TX,75234
7460,Utah College of Massage Therapy-Dallas,Richardson,TX,75801
7461,Miami Ad School-New York,Brooklyn,NY,11201
7462,Lacy Cosmetology School-West Ashley,Charleston,SC,29407
7463,Dade Medical College-West Palm Beach,West Palm Beach,FL,33415
