FID,NAME,ADDRESS,CITY,STATE,ZIP
232,ROMNEY STADIUM,800 EAST 1000 NORTH,LOGAN,UT,84322
233,LANE STADIUM,265 SPRING ROAD,BLACKSBURG,VA,24060
234,HOOPER EBLEN CENTER,WEST 12TH STREET AND NORTH WILLOW AVENUE,COOKSVILLE,TN,38501
235,SCOTT STADIUM,1815 STADIUM ROAD,CHARLOTTTESVILLE,VA,22903
236,LANTZ ARENA,GRANT AVENUE AND FOURTH STREET,CHARLESTON,IL,61920
237,HUSKY STADIUM,3800 MONTLAKE BOULEVARD NE,SEATTLE,WA,98105
238,EDWIN W. PAULEY PAVILION,555 WESTWOOD PLAZA,LOS ANGELES,CA,90095
239,BEASLEY COLISEUM,1775 NE STADIUM WAY,PULLMAN,WA,99163
240,MARTIN STADIUM,NE STADIUM WAY AND NE WILSON ROAD,PULLMAN,WA,99164
241,GALEN CENTER,WEST JEFFERSON BOULEVARD AND SOUTH FIGUEROA STREET,LOS ANGELES,CA,90007
242,CAMP RANDALL STADIUM,1440 MONROE STREET,MADISON,WI,53711
243,GILL COLISEUM,660 SOUTHWEST 26TH STREET,CORVALLIS,OR,97331
244,MOUNTAINEER FIELD AT MILAN PUSKAR STADIUM,900 WILLOWDALE ROAD,MORGANTOWN,WV,26505
245,COTTERELL COURT,13 OAK DRIVE,HAMILTON,NY,13346
246,JOAN C. EDWARDS STADIUM,2001 3RD AVENUE,HUNTINGTON,WV,25755
247,WAR MEMORIAL STADIUM (WYOMING),NORTH 22ND STREET AND LAND STREET,LARAMIE,WY,82070
248,HART CENTER,1 COLLEGE STREET,WORCESTER,MA,1610
249,APOGEE STADIUM,1500 SOUTH BONNIE BRAE STREET,DENTON,TX,76207
250,COLEMAN COLISEUM,323 PAUL W BRYANT DRIVE,TUSCALOOSA,AL,35487
251,BRIGHT HOUSE NETWORKS STADIUM,4000 CENTRAL FLORIDA BOULEVARD,ORLANDO,FL,32816
252,COLONIAL LIFE ARENA,801 LINCOLN STREET,COLUMBIA,SC,29201
253,ISLAND FEDERAL CREDIT UNION ARENA,JOHN S. TOLL DRIVE,STONY BROOK,NY,11790
254,HUMPHREY COLISEUM,55 COLISEUM BOULEVARD,STARKSVILLE,MS,39762
255,FAU STADIUM,SAINT LUCIE AVENUE,BOCA RATON,FL,33431
