FID,NAME,POP_2010,STATE
35079,Hartsville,7870,TN
35080,Lynchburg,6362,TN
35081,Nashville,601222,TN
35082,Falcon Lake,1036,TX
35083,Cache Junction,38,UT
35084,Elberta,256,UT
35085,Petersboro,324,UT
35086,Oljato,674,UT
35087,Heber City,11362,UT
35088,Boulder,226,UT
35089,North Westminster,247,VT
35090,Cabot,233,VT
35091,South Chesconessex,131,VA
35092,Buckingham,133,VA
35093,Chamberlayne Heights,5456,VA
35094,Gloucester,2951,VA
35095,Meadowview,967,VA
35096,Marietta,3906,WA
35097,McMurray,192,WA
35098,Nordland,844,WA
35099,La Crosse,313,WA
35100,Thompson Place,5892,WA
35101,Coalton,250,WV
35102,Berkeley Springs,624,WV
35103,Weston,14868,WI
35104,Mequon,23132,WI
35105,Superior,664,WI
35106,Brockway,-999,WI
35107,De Forest,8936,WI
35108,Jamestown,-999,WI
35109,Ottawa,-999,WI
35110,Parkland,-999,WI
35111,Casper,55316,WY
35112,Colony,-999,WY
35113,Foxpark,22,WY
35114,Furnace Creek,24,CA
35115,Clearlake,15250,CA
35116,Tamalpais Valley,10735,CA
35117,Albany,18539,CA
35118,Malibu,12645,CA
35119,West Hollywood,34399,CA
35120,Mesa Verde,1023,CA
35121,Rackerby,204,CA
35122,Coulterville,201,CA
35123,El Toro,-999,CA
35124,Hollywood,-999,CA
35125,Bronx,1408473,NY
35126,Manhattan,1619090,NY
35127,Brooklyn,2565635,NY
35128,Queens,2272771,NY
35129,Staten Island,470728,NY
35130,Ogletown,-999,DE
35131,Ritchie,276,MD
35132,Dares Beach,2538,MD
35133,Chardon,5148,OH
35134,Hoopersville,-999,MD
35135,Chaptico,-999,MD
35136,Milford Crossroads,-999,DE
35137,North Attleborough,28712,MA
35138,Calvert,-999,MD
35139,Farmington,-999,MD
35140,Whiteford,-999,MD
35141,Prospect,-999,MD
35142,Cornersville,-999,MD
35143,Georgiaville,-999,RI
35144,Centerdale,-999,RI
35145,Union Village,-999,RI
35146,Saunderstown,-999,RI
35147,Shawmut,-999,AL
35148,Sunrise,84439,FL
35149,Joiner,576,AR
35150,Warm Springs,-999,AR
35151,Flournoy,-999,LA
35152,Washington,-999,MS
35153,Brasfield,-999,AR
35154,Holbrook Junction,-999,NV
35155,Rockvale,-999,MT
35156,Bozeman Hot Springs,-999,MT
35157,Watkins,653,CO
35158,Parlin,-999,CO
35159,Doyleville,-999,CO
35160,Mineral Hot Springs,-999,CO
35161,Lawson,-999,CO
35162,Dumont,-999,CO
35163,El Rancho,-999,CO
35164,Granite,-999,IA
35165,Carbury,-999,ND
35166,Rose Lake,-999,ID
35167,Sparta,-999,NJ
35168,Manchester,-999,NJ
35169,Bacavi,-999,AZ
35170,Big Springs,-999,AZ
35171,Double Adobe,-999,AZ
35172,Carmen,-999,AZ
35173,Nicksville,-999,AZ
35174,Tumacacori,393,AZ
35175,Forest Lakes Estates,-999,AZ
35176,Doyleville,-999,CO
35177,Farson,-999,IA
35178,West Grove,-999,IA
35179,Humble City,-999,NM
35180,Rutheron,-999,NM
35181,Los Padillas,-999,NM
35182,Ojo Caliente,-999,NM
35183,Manhattan,-999,NV
35184,Matanuska,-999,AK
35185,Seal Rock,-999,OR
35186,South Beach,-999,OR
35187,Tidewater,-999,OR
35188,Enning,-999,SD
35189,Marcus,-999,SD
35190,Maurine,-999,SD
35191,Mud Butte,-999,SD
35192,Opal,-999,SD
35193,Plainview,-999,SD
35194,Redowl,-999,SD
35195,White Owl,-999,SD
35196,Fairpoint,-999,SD
35197,Hereford,-999,SD
35198,Howes,-999,SD
35199,Stoneville,-999,SD
